incident_zip,created_date,unique_key
11211,2024-09-09T01:50:15.000,62371427
11377,2024-09-09T01:49:49.000,62367432
10002,2024-09-09T01:49:42.000,62370993
11226,2024-09-09T01:48:53.000,62366711
10031,2024-09-09T01:48:48.000,62372617
10033,2024-09-09T01:48:29.000,62374178
10031,2024-09-09T01:46:58.000,62371405
10031,2024-09-09T01:45:13.000,62367781
11367,2024-09-09T01:42:32.000,62366975
10032,2024-09-09T01:41:42.000,62371631
11370,2024-09-09T01:41:17.000,62375466
11234,2024-09-09T01:41:15.000,62370187
11221,2024-09-09T01:40:26.000,62367950
10018,2024-09-09T01:38:56.000,62372863
10010,2024-09-09T01:37:40.000,62372932
10453,2024-09-09T01:37:24.000,62368042
10007,2024-09-09T01:37:12.000,62373401
11215,2024-09-09T01:37:10.000,62369756
11237,2024-09-09T01:34:57.000,62367804
11356,2024-09-09T01:33:44.000,62373000
11004,2024-09-09T01:33:34.000,62374492
11354,2024-09-09T01:33:08.000,62369472
11207,2024-09-09T01:33:05.000,62369895
11208,2024-09-09T01:31:35.000,62369306
11354,2024-09-09T01:31:22.000,62370229
10458,2024-09-09T01:28:54.000,62370781
11354,2024-09-09T01:28:46.000,62370264
11230,2024-09-09T01:28:12.000,62366882
10309,2024-09-09T01:27:09.000,62370693
10034,2024-09-09T01:24:21.000,62370593
10463,2024-09-09T01:24:07.000,62367215
10474,2024-09-09T01:22:57.000,62372279
10474,2024-09-09T01:22:49.000,62367018
10474,2024-09-09T01:22:43.000,62373733
11375,2024-09-09T01:21:44.000,62372105
11215,2024-09-09T01:21:35.000,62373927
10454,2024-09-09T01:21:01.000,62368953
11221,2024-09-09T01:20:56.000,62369565
11354,2024-09-09T01:19:57.000,62367551
11232,2024-09-09T01:19:56.000,62373470
11102,2024-09-09T01:19:26.000,62367385
10026,2024-09-09T01:19:15.000,62366704
11226,2024-09-09T01:19:12.000,62375861
11210,2024-09-09T01:18:41.000,62372002
10029,2024-09-09T01:18:40.000,62373202
10026,2024-09-09T01:18:06.000,62370362
11692,2024-09-09T01:18:03.000,62372390
11208,2024-09-09T01:17:39.000,62375723
11221,2024-09-09T01:15:49.000,62370876
11221,2024-09-09T01:15:24.000,62368187
11208,2024-09-09T01:14:43.000,62375837
11372,2024-09-09T01:14:42.000,62373663
10468,2024-09-09T01:14:25.000,62374872
10012,2024-09-09T01:14:02.000,62372642
11377,2024-09-09T01:11:31.000,62370159
11385,2024-09-09T01:09:49.000,62370892
10467,2024-09-09T01:07:51.000,62370241
11377,2024-09-09T01:06:41.000,62371425
11208,2024-09-09T01:06:12.000,62370405
11234,2024-09-09T01:03:55.000,62374535
10024,2024-09-09T01:03:28.000,62366947
10468,2024-09-09T01:02:52.000,62373627
10467,2024-09-09T01:02:37.000,62367850
10452,2024-09-09T01:02:15.000,62375813
10040,2024-09-09T01:02:02.000,62369804
10467,2024-09-09T01:02:00.000,62369655
10460,2024-09-09T01:01:38.000,62375254
11101,2024-09-09T01:01:29.000,62374887
10468,2024-09-09T01:01:00.000,62369507
10458,2024-09-09T00:59:41.000,62372283
10459,2024-09-09T00:58:24.000,62366789
10458,2024-09-09T00:57:38.000,62371252
10001,2024-09-09T00:57:09.000,62374894
10467,2024-09-09T00:55:30.000,62372972
10025,2024-09-09T00:54:27.000,62368515
11419,2024-09-09T00:54:07.000,62366952
10314,2024-09-09T00:53:19.000,62367233
11101,2024-09-09T00:52:46.000,62373496
10460,2024-09-09T00:52:08.000,62366897
11220,2024-09-09T00:51:57.000,62370915
11212,2024-09-09T00:51:46.000,62373229
10034,2024-09-09T00:51:45.000,62369127
11234,2024-09-09T00:50:57.000,62373252
10026,2024-09-09T00:50:10.000,62376168
10024,2024-09-09T00:50:07.000,62371012
10453,2024-09-09T00:49:52.000,62370802
11234,2024-09-09T00:49:14.000,62370734
11365,2024-09-09T00:48:47.000,62370763
10452,2024-09-09T00:48:09.000,62372600
11370,2024-09-09T00:46:42.000,62370851
10467,2024-09-09T00:46:41.000,62366765
10455,2024-09-09T00:46:29.000,62373397
11226,2024-09-09T00:45:47.000,62368020
10032,2024-09-09T00:45:45.000,62376144
10456,2024-09-09T00:45:24.000,62376151
11373,2024-09-09T00:45:18.000,62370258
10452,2024-09-09T00:45:08.000,62370160
10306,2024-09-09T00:44:38.000,62371390
10452,2024-09-09T00:44:33.000,62367834
11412,2024-09-09T00:44:11.000,62369169
11249,2024-09-09T00:43:38.000,62373502
11226,2024-09-09T00:43:32.000,62367080
10456,2024-09-09T00:43:12.000,62374920
10304,2024-09-09T00:42:33.000,62371654
11355,2024-09-09T00:42:28.000,62370380
10301,2024-09-09T00:42:03.000,62373311
10458,2024-09-09T00:42:01.000,62367824
10009,2024-09-09T00:41:50.000,62376001
11222,2024-09-09T00:41:46.000,62368281
11693,2024-09-09T00:40:23.000,62374557
10464,2024-09-09T00:39:34.000,62371692
11233,2024-09-09T00:39:22.000,62375746
11237,2024-09-09T00:39:18.000,62367880
11237,2024-09-09T00:38:47.000,62371532
10452,2024-09-09T00:38:19.000,62368405
10463,2024-09-09T00:37:46.000,62368474
10462,2024-09-09T00:37:45.000,62372901
10024,2024-09-09T00:37:34.000,62369666
10034,2024-09-09T00:37:23.000,62367214
11232,2024-09-09T00:37:18.000,62367878
